;mean_test_score;param_feature_processing__nontext_processing__selecting__rng;param_feature_processing__text_processing__vectorization;param_feature_processing__text_processing__vectorization__min_df;param_feature_processing__text_processing__vectorization__ngram_range;param_feature_processing__text_processing__vectorization__stop_words;params;std_test_score
0;0.675787278884419;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 3);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.008795388673302358
1;0.6681213011044049;[1, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 3);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.013139528474671243
2;0.667896569918154;[7, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 3);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__nontext_processing__selecting__rng': [7, 'end'], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.012538748031840817
3;0.6673290377595104;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.015154893619573962
4;0.6618005620382977;[1, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.014593719045680869
5;0.6600636373751458;[7, 'end'];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";2;(1, 2);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=2,
        ngram_range=(1, 3), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__nontext_processing__selecting__rng': [7, 'end'], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 2}";0.014464880393543584
6;0.6594067442227928;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 2);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 1}";0.002197943251683717
7;0.6577508177052378;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 3);;"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__min_df': 1}";0.006786799453575441
8;0.6571788004753363;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 2);['и', 'в', 'во', 'что', 'он', 'на', 'я', 'с', 'со', 'как', 'а', 'то', 'все', 'она', 'так', 'его', 'но', 'да', 'ты', 'к', 'у', 'же', 'вы', 'за', 'бы', 'по', 'только', 'ее', 'мне', 'было', 'вот', 'от', 'меня', 'еще', 'нет', 'о', 'из', 'ему', 'теперь', 'когда', 'даже', 'ну', 'вдруг', 'ли', 'если', 'уже', 'или', 'ни', 'быть', 'был', 'него', 'до', 'вас', 'нибудь', 'опять', 'уж', 'вам', 'ведь', 'там', 'потом', 'себя', 'ничего', 'ей', 'может', 'они', 'тут', 'где', 'есть', 'надо', 'ней', 'для', 'мы', 'тебя', 'их', 'чем', 'была', 'сам', 'чтоб', 'без', 'будто', 'чего', 'раз', 'тоже', 'себе', 'под', 'будет', 'ж', 'тогда', 'кто', 'этот', 'того', 'потому', 'этого', 'какой', 'совсем', 'ним', 'здесь', 'этом', 'один', 'почти', 'мой', 'тем', 'чтобы', 'нее', 'сейчас', 'были', 'куда', 'зачем', 'всех', 'никогда', 'можно', 'при', 'наконец', 'два', 'об', 'другой', 'хоть', 'после', 'над', 'больше', 'тот', 'через', 'эти', 'нас', 'про', 'всего', 'них', 'какая', 'много', 'разве', 'три', 'эту', 'моя', 'впрочем', 'хорошо', 'свою', 'этой', 'перед', 'иногда', 'лучше', 'чуть', 'том', 'нельзя', 'такой', 'им', 'более', 'всегда', 'конечно', 'всю', 'между'];"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': ['и', 'в', 'во', 'что', 'он', 'на', 'я', 'с', 'со', 'как', 'а', 'то', 'все', 'она', 'так', 'его', 'но', 'да', 'ты', 'к', 'у', 'же', 'вы', 'за', 'бы', 'по', 'только', 'ее', 'мне', 'было', 'вот', 'от', 'меня', 'еще', 'нет', 'о', 'из', 'ему', 'теперь', 'когда', 'даже', 'ну', 'вдруг', 'ли', 'если', 'уже', 'или', 'ни', 'быть', 'был', 'него', 'до', 'вас', 'нибудь', 'опять', 'уж', 'вам', 'ведь', 'там', 'потом', 'себя', 'ничего', 'ей', 'может', 'они', 'тут', 'где', 'есть', 'надо', 'ней', 'для', 'мы', 'тебя', 'их', 'чем', 'была', 'сам', 'чтоб', 'без', 'будто', 'чего', 'раз', 'тоже', 'себе', 'под', 'будет', 'ж', 'тогда', 'кто', 'этот', 'того', 'потому', 'этого', 'какой', 'совсем', 'ним', 'здесь', 'этом', 'один', 'почти', 'мой', 'тем', 'чтобы', 'нее', 'сейчас', 'были', 'куда', 'зачем', 'всех', 'никогда', 'можно', 'при', 'наконец', 'два', 'об', 'другой', 'хоть', 'после', 'над', 'больше', 'тот', 'через', 'эти', 'нас', 'про', 'всего', 'них', 'какая', 'много', 'разве', 'три', 'эту', 'моя', 'впрочем', 'хорошо', 'свою', 'этой', 'перед', 'иногда', 'лучше', 'чуть', 'том', 'нельзя', 'такой', 'им', 'более', 'всегда', 'конечно', 'всю', 'между'], 'feature_processing__text_processing__vectorization__min_df': 1}";0.009000634000516344
9;0.6551128198379086;[1, 6];"CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None)";1;(1, 3);['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'тюмень', 'сочи', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'калининград', 'ростов', 'волгоград', 'уфа', 'воронеж', 'саратов', 'тула', 'красноярск', 'чебоксары', 'нижний новгород', 'дон', 'киров', 'запад', 'ульяновск', 'кемерово', 'куда', 'оренбург', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'тольятти', 'мурманск', 'вологда', 'томск', 'армения', 'пара', 'чита', 'липецк', 'приморье', 'магнитогорск', 'владимир', 'сургут', 'барнаул', 'челябинск', 'сибирь', 'дагестан', 'европа', 'минск', 'белгород', 'канада', 'киев', 'рязань', 'кампания', 'красноярский край', 'новокузнецк', 'саранск', 'анапа', 'череповец', 'пушкино', 'донецк', 'греция', 'тагил', 'нижний тагил', 'брянск', 'колл', 'амкара', 'котор', 'раменское', 'псков', 'нальчик', 'бурятия', 'тверь', 'луганск', 'татарстан', 'подмосковье', 'курган', 'меркурий', 'калуга', 'кубань', 'беларусь', 'якутск', 'великий новгород', 'аскольд', 'иран', 'петрозаводск', 'ямал', 'восток', 'южный сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'парнас', 'курск', 'сахалинск', 'башкирия', 'арзамас', 'урал', 'ухта', 'уссурийск', 'волжский', 'тверская', 'владивосток', 'лондон', 'весь россия', 'орск', 'удмуртия', 'иваново', 'фанпромой', 'краснодарский край', 'белоруссия', 'стерлитамак', 'камчатка', 'око', 'казахстан', 'химки', 'артём', 'который евросоюз', 'сыктывкар', 'архангельск', 'грозный', 'энгельс', 'чувашия', 'серпухов', 'брюссель', 'югра', 'вена', 'вашингтон', 'тамбов', 'миасс', 'город кемерово', 'благовещенск', 'волгодонск', 'всеволожск', 'китай', 'николаев', 'пермский край', 'анжеро', 'харьков', 'дальний восток', 'ботлихский район', 'павлиное', 'чехия', 'мытищи', 'судженск', 'тобольск', 'старый оскол', 'российск', 'новограда', 'ртищево', 'саянск', 'корп', 'находка', 'город россия', 'усинск', 'запорожье', 'оскол', 'различ', 'каменск', 'онега', 'приозерск', 'магадан', 'орёл', 'владикавказ', 'коми', 'прага', 'абакан', 'петропавловск', 'хорватия', 'кавказ', 'астан', 'ютэйр', 'хабаровский край', 'лабинск', 'зеленоград', 'реаба', 'мошейничествочер', 'микро', 'восколько', 'америка', 'адмиралтейский район', 'нефтекамск', 'житомир', 'питер', 'балашиха', 'калачинск', 'геленджик', 'трансэарое', 'мансийск', 'кировский район', 'байкал', 'бийск', 'россельхое', 'город ижевск', 'город спасск', 'новороссийск', 'турция', 'балаково', 'оленегорск', 'город москва', 'зюзино', 'ачинск', 'забайкалье', 'обнинск', 'мрск', 'ленобласть', 'болгария', 'поволжье', 'конаково', 'сахалин', 'хакасия', 'детский реаба', 'калининский район', 'спонсировавший', 'альметьевск', 'новокуйбышевск', 'город можга', 'ужгород', 'люксембург', 'твибанда', 'сцукое', 'шотландия', 'грузия', 'махачкала', 'вебманя', 'сума', 'госуслуга', 'вязники', 'доминикана', 'таганрог', 'витебск', 'севастополь', 'недвиж', 'пров', 'виктория', 'курашов', 'атба', 'опра', 'германия', 'черкесск', 'кузбасс', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'];"{'feature_processing__text_processing__vectorization': CountVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 1), preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='(?u)\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None), 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__stop_words': ['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'тюмень', 'сочи', 'иркутск', 'пермь', 'омск', 'ярославль', 'хабаровск', 'новгород', 'ижевск', 'украинский', 'калининград', 'ростов', 'волгоград', 'уфа', 'воронеж', 'саратов', 'тула', 'красноярск', 'чебоксары', 'нижний новгород', 'дон', 'киров', 'запад', 'ульяновск', 'кемерово', 'куда', 'оренбург', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'тольятти', 'мурманск', 'вологда', 'томск', 'армения', 'пара', 'чита', 'липецк', 'приморье', 'магнитогорск', 'владимир', 'сургут', 'барнаул', 'челябинск', 'сибирь', 'дагестан', 'европа', 'минск', 'белгород', 'канада', 'киев', 'рязань', 'кампания', 'красноярский край', 'новокузнецк', 'саранск', 'анапа', 'череповец', 'пушкино', 'донецк', 'греция', 'тагил', 'нижний тагил', 'брянск', 'колл', 'амкара', 'котор', 'раменское', 'псков', 'нальчик', 'бурятия', 'тверь', 'луганск', 'татарстан', 'подмосковье', 'курган', 'меркурий', 'калуга', 'кубань', 'беларусь', 'якутск', 'великий новгород', 'аскольд', 'иран', 'петрозаводск', 'ямал', 'восток', 'южный сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'парнас', 'курск', 'сахалинск', 'башкирия', 'арзамас', 'урал', 'ухта', 'уссурийск', 'волжский', 'тверская', 'владивосток', 'лондон', 'весь россия', 'орск', 'удмуртия', 'иваново', 'фанпромой', 'краснодарский край', 'белоруссия', 'стерлитамак', 'камчатка', 'око', 'казахстан', 'химки', 'артём', 'который евросоюз', 'сыктывкар', 'архангельск', 'грозный', 'энгельс', 'чувашия', 'серпухов', 'брюссель', 'югра', 'вена', 'вашингтон', 'тамбов', 'миасс', 'город кемерово', 'благовещенск', 'волгодонск', 'всеволожск', 'китай', 'николаев', 'пермский край', 'анжеро', 'харьков', 'дальний восток', 'ботлихский район', 'павлиное', 'чехия', 'мытищи', 'судженск', 'тобольск', 'старый оскол', 'российск', 'новограда', 'ртищево', 'саянск', 'корп', 'находка', 'город россия', 'усинск', 'запорожье', 'оскол', 'различ', 'каменск', 'онега', 'приозерск', 'магадан', 'орёл', 'владикавказ', 'коми', 'прага', 'абакан', 'петропавловск', 'хорватия', 'кавказ', 'астан', 'ютэйр', 'хабаровский край', 'лабинск', 'зеленоград', 'реаба', 'мошейничествочер', 'микро', 'восколько', 'америка', 'адмиралтейский район', 'нефтекамск', 'житомир', 'питер', 'балашиха', 'калачинск', 'геленджик', 'трансэарое', 'мансийск', 'кировский район', 'байкал', 'бийск', 'россельхое', 'город ижевск', 'город спасск', 'новороссийск', 'турция', 'балаково', 'оленегорск', 'город москва', 'зюзино', 'ачинск', 'забайкалье', 'обнинск', 'мрск', 'ленобласть', 'болгария', 'поволжье', 'конаково', 'сахалин', 'хакасия', 'детский реаба', 'калининский район', 'спонсировавший', 'альметьевск', 'новокуйбышевск', 'город можга', 'ужгород', 'люксембург', 'твибанда', 'сцукое', 'шотландия', 'грузия', 'махачкала', 'вебманя', 'сума', 'госуслуга', 'вязники', 'доминикана', 'таганрог', 'витебск', 'севастополь', 'недвиж', 'пров', 'виктория', 'курашов', 'атба', 'опра', 'германия', 'черкесск', 'кузбасс', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'], 'feature_processing__text_processing__vectorization__min_df': 1}";0.0022233376975185435
