;mean_test_score;param_classifier__C;param_classifier__class_weight;param_feature_processing__nontext_processing__selecting__rng;param_feature_processing__text_processing__vectorization;param_feature_processing__text_processing__vectorization__min_df;param_feature_processing__text_processing__vectorization__ngram_range;param_feature_processing__text_processing__vectorization__stop_words;params;std_test_score
0;0.7314529555367226;100;balanced;[1, 6];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'classifier__C': 100, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.013987787519143135
1;0.7314074717260378;10;balanced;[1, 6];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'classifier__C': 10, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.018092222847702386
2;0.7307090326614208;100;balanced;[1, 'end'];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'classifier__C': 100, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.01628865368545573
3;0.7286720482876019;10;balanced;[1, 'end'];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 2);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'classifier__C': 10, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.020390665173032254
4;0.7277594403487581;10;balanced;[1, 6];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 3);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'classifier__C': 10, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.019910306655927495
5;0.7262169021750928;100;balanced;[1, 6];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 3);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'classifier__C': 100, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.017329617685862164
6;0.7260853273879855;100;balanced;[1, 'end'];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 3);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'classifier__C': 100, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.017221181009767352
7;0.7244346950914206;10;balanced;[1, 'end'];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 3);;"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': None, 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'classifier__C': 10, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.019125046684180504
8;0.7232332384222363;100;balanced;[1, 'end'];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 2);['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'новгород', 'хабаровск', 'ижевск', 'украинский', 'волгоград', 'калининград', 'ростов', 'уфа', 'воронеж', 'тула', 'саратов', 'красноярск', 'нижний новгород', 'чебоксары', 'дон', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'армения', 'тольятти', 'вологда', 'мурманск', 'томск', 'пара', 'липецк', 'чита', 'сибирь', 'магнитогорск', 'челябинск', 'приморье', 'сургут', 'барнаул', 'владимир', 'белгород', 'канада', 'европа', 'дагестан', 'минск', 'красноярский край', 'кампания', 'рязань', 'киев', 'новокузнецк', 'саранск', 'брянск', 'донецк', 'нижний тагил', 'псков', 'череповец', 'амкара', 'колл', 'нальчик', 'котор', 'тагил', 'раменское', 'анапа', 'пушкино', 'тверь', 'греция', 'луганск', 'бурятия', 'подмосковье', 'якутск', 'меркурий', 'великий новгород', 'петрозаводск', 'иран', 'курган', 'калуга', 'кубань', 'аскольд', 'беларусь', 'татарстан', 'южный сахалинск', 'восток', 'сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'курск', 'ямал', 'парнас', 'башкирия', 'краснодарский край', 'иваново', 'удмуртия', 'волжский', 'орск', 'лондон', 'арзамас', 'тверская', 'весь россия', 'урал', 'фанпромой', 'уссурийск', 'владивосток', 'ухта', 'волгодонск', 'казахстан', 'тамбов', 'сыктывкар', 'всеволожск', 'который евросоюз', 'камчатка', 'чувашия', 'вена', 'грозный', 'око', 'благовещенск', 'город кемерово', 'серпухов', 'стерлитамак', 'николаев', 'брюссель', 'вашингтон', 'белоруссия', 'архангельск', 'миасс', 'энгельс', 'артём', 'китай', 'югра', 'химки', 'приозерск', 'онега', 'запорожье', 'павлиное', 'орёл', 'владикавказ', 'город россия', 'харьков', 'оскол', 'различ', 'дальний восток', 'коми', 'пермский край', 'корп', 'чехия', 'ботлихский район', 'прага', 'каменск', 'ртищево', 'судженск', 'магадан', 'тобольск', 'старый оскол', 'мытищи', 'саянск', 'усинск', 'новограда', 'анжеро', 'находка', 'российск', 'забайкалье', 'шотландия', 'город ижевск', 'виктория', 'кировский район', 'детский реаба', 'америка', 'ачинск', 'альметьевск', 'балаково', 'зюзино', 'ленобласть', 'черкесск', 'абакан', 'питер', 'госуслуга', 'реаба', 'адмиралтейский район', 'город спасск', 'доминикана', 'микро', 'вебманя', 'город москва', 'новокуйбышевск', 'трансэарое', 'калачинск', 'грузия', 'поволжье', 'атба', 'астан', 'житомир', 'обнинск', 'мошейничествочер', 'курашов', 'турция', 'мансийск', 'твибанда', 'севастополь', 'пров', 'спонсировавший', 'конаково', 'новороссийск', 'хабаровский край', 'кузбасс', 'петропавловск', 'геленджик', 'сцукое', 'восколько', 'ютэйр', 'сума', 'байкал', 'кавказ', 'калининский район', 'мрск', 'зеленоград', 'сахалин', 'опра', 'россельхое', 'германия', 'махачкала', 'витебск', 'недвиж', 'балашиха', 'оленегорск', 'люксембург', 'город можга', 'ужгород', 'бийск', 'нефтекамск', 'хорватия', 'лабинск', 'болгария', 'вязники', 'таганрог', 'хакасия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'];"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 'end'], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': ['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'новгород', 'хабаровск', 'ижевск', 'украинский', 'волгоград', 'калининград', 'ростов', 'уфа', 'воронеж', 'тула', 'саратов', 'красноярск', 'нижний новгород', 'чебоксары', 'дон', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'армения', 'тольятти', 'вологда', 'мурманск', 'томск', 'пара', 'липецк', 'чита', 'сибирь', 'магнитогорск', 'челябинск', 'приморье', 'сургут', 'барнаул', 'владимир', 'белгород', 'канада', 'европа', 'дагестан', 'минск', 'красноярский край', 'кампания', 'рязань', 'киев', 'новокузнецк', 'саранск', 'брянск', 'донецк', 'нижний тагил', 'псков', 'череповец', 'амкара', 'колл', 'нальчик', 'котор', 'тагил', 'раменское', 'анапа', 'пушкино', 'тверь', 'греция', 'луганск', 'бурятия', 'подмосковье', 'якутск', 'меркурий', 'великий новгород', 'петрозаводск', 'иран', 'курган', 'калуга', 'кубань', 'аскольд', 'беларусь', 'татарстан', 'южный сахалинск', 'восток', 'сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'курск', 'ямал', 'парнас', 'башкирия', 'краснодарский край', 'иваново', 'удмуртия', 'волжский', 'орск', 'лондон', 'арзамас', 'тверская', 'весь россия', 'урал', 'фанпромой', 'уссурийск', 'владивосток', 'ухта', 'волгодонск', 'казахстан', 'тамбов', 'сыктывкар', 'всеволожск', 'который евросоюз', 'камчатка', 'чувашия', 'вена', 'грозный', 'око', 'благовещенск', 'город кемерово', 'серпухов', 'стерлитамак', 'николаев', 'брюссель', 'вашингтон', 'белоруссия', 'архангельск', 'миасс', 'энгельс', 'артём', 'китай', 'югра', 'химки', 'приозерск', 'онега', 'запорожье', 'павлиное', 'орёл', 'владикавказ', 'город россия', 'харьков', 'оскол', 'различ', 'дальний восток', 'коми', 'пермский край', 'корп', 'чехия', 'ботлихский район', 'прага', 'каменск', 'ртищево', 'судженск', 'магадан', 'тобольск', 'старый оскол', 'мытищи', 'саянск', 'усинск', 'новограда', 'анжеро', 'находка', 'российск', 'забайкалье', 'шотландия', 'город ижевск', 'виктория', 'кировский район', 'детский реаба', 'америка', 'ачинск', 'альметьевск', 'балаково', 'зюзино', 'ленобласть', 'черкесск', 'абакан', 'питер', 'госуслуга', 'реаба', 'адмиралтейский район', 'город спасск', 'доминикана', 'микро', 'вебманя', 'город москва', 'новокуйбышевск', 'трансэарое', 'калачинск', 'грузия', 'поволжье', 'атба', 'астан', 'житомир', 'обнинск', 'мошейничествочер', 'курашов', 'турция', 'мансийск', 'твибанда', 'севастополь', 'пров', 'спонсировавший', 'конаково', 'новороссийск', 'хабаровский край', 'кузбасс', 'петропавловск', 'геленджик', 'сцукое', 'восколько', 'ютэйр', 'сума', 'байкал', 'кавказ', 'калининский район', 'мрск', 'зеленоград', 'сахалин', 'опра', 'россельхое', 'германия', 'махачкала', 'витебск', 'недвиж', 'балашиха', 'оленегорск', 'люксембург', 'город можга', 'ужгород', 'бийск', 'нефтекамск', 'хорватия', 'лабинск', 'болгария', 'вязники', 'таганрог', 'хакасия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'], 'feature_processing__text_processing__vectorization__ngram_range': (1, 2), 'classifier__C': 100, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.015923789461127897
9;0.7218391699195941;10;balanced;[1, 6];"TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)";1;(1, 3);['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'новгород', 'хабаровск', 'ижевск', 'украинский', 'волгоград', 'калининград', 'ростов', 'уфа', 'воронеж', 'тула', 'саратов', 'красноярск', 'нижний новгород', 'чебоксары', 'дон', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'армения', 'тольятти', 'вологда', 'мурманск', 'томск', 'пара', 'липецк', 'чита', 'сибирь', 'магнитогорск', 'челябинск', 'приморье', 'сургут', 'барнаул', 'владимир', 'белгород', 'канада', 'европа', 'дагестан', 'минск', 'красноярский край', 'кампания', 'рязань', 'киев', 'новокузнецк', 'саранск', 'брянск', 'донецк', 'нижний тагил', 'псков', 'череповец', 'амкара', 'колл', 'нальчик', 'котор', 'тагил', 'раменское', 'анапа', 'пушкино', 'тверь', 'греция', 'луганск', 'бурятия', 'подмосковье', 'якутск', 'меркурий', 'великий новгород', 'петрозаводск', 'иран', 'курган', 'калуга', 'кубань', 'аскольд', 'беларусь', 'татарстан', 'южный сахалинск', 'восток', 'сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'курск', 'ямал', 'парнас', 'башкирия', 'краснодарский край', 'иваново', 'удмуртия', 'волжский', 'орск', 'лондон', 'арзамас', 'тверская', 'весь россия', 'урал', 'фанпромой', 'уссурийск', 'владивосток', 'ухта', 'волгодонск', 'казахстан', 'тамбов', 'сыктывкар', 'всеволожск', 'который евросоюз', 'камчатка', 'чувашия', 'вена', 'грозный', 'око', 'благовещенск', 'город кемерово', 'серпухов', 'стерлитамак', 'николаев', 'брюссель', 'вашингтон', 'белоруссия', 'архангельск', 'миасс', 'энгельс', 'артём', 'китай', 'югра', 'химки', 'приозерск', 'онега', 'запорожье', 'павлиное', 'орёл', 'владикавказ', 'город россия', 'харьков', 'оскол', 'различ', 'дальний восток', 'коми', 'пермский край', 'корп', 'чехия', 'ботлихский район', 'прага', 'каменск', 'ртищево', 'судженск', 'магадан', 'тобольск', 'старый оскол', 'мытищи', 'саянск', 'усинск', 'новограда', 'анжеро', 'находка', 'российск', 'забайкалье', 'шотландия', 'город ижевск', 'виктория', 'кировский район', 'детский реаба', 'америка', 'ачинск', 'альметьевск', 'балаково', 'зюзино', 'ленобласть', 'черкесск', 'абакан', 'питер', 'госуслуга', 'реаба', 'адмиралтейский район', 'город спасск', 'доминикана', 'микро', 'вебманя', 'город москва', 'новокуйбышевск', 'трансэарое', 'калачинск', 'грузия', 'поволжье', 'атба', 'астан', 'житомир', 'обнинск', 'мошейничествочер', 'курашов', 'турция', 'мансийск', 'твибанда', 'севастополь', 'пров', 'спонсировавший', 'конаково', 'новороссийск', 'хабаровский край', 'кузбасс', 'петропавловск', 'геленджик', 'сцукое', 'восколько', 'ютэйр', 'сума', 'байкал', 'кавказ', 'калининский район', 'мрск', 'зеленоград', 'сахалин', 'опра', 'россельхое', 'германия', 'махачкала', 'витебск', 'недвиж', 'балашиха', 'оленегорск', 'люксембург', 'город можга', 'ужгород', 'бийск', 'нефтекамск', 'хорватия', 'лабинск', 'болгария', 'вязники', 'таганрог', 'хакасия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'];"{'classifier__class_weight': 'balanced', 'feature_processing__nontext_processing__selecting__rng': [1, 6], 'feature_processing__text_processing__vectorization__min_df': 1, 'feature_processing__text_processing__vectorization__stop_words': ['москва', 'россия', 'сша', 'украина', 'евросоюз', 'петербург', 'фанпромывший', 'крым', 'самар', 'краснодар', 'новосибирск', 'казань', 'екатеринбург', 'сочи', 'тюмень', 'иркутск', 'пермь', 'омск', 'ярославль', 'новгород', 'хабаровск', 'ижевск', 'украинский', 'волгоград', 'калининград', 'ростов', 'уфа', 'воронеж', 'тула', 'саратов', 'красноярск', 'нижний новгород', 'чебоксары', 'дон', 'киров', 'ульяновск', 'кемерово', 'запад', 'оренбург', 'куда', 'ставрополь', 'кострома', 'смоленск', 'пенза', 'армения', 'тольятти', 'вологда', 'мурманск', 'томск', 'пара', 'липецк', 'чита', 'сибирь', 'магнитогорск', 'челябинск', 'приморье', 'сургут', 'барнаул', 'владимир', 'белгород', 'канада', 'европа', 'дагестан', 'минск', 'красноярский край', 'кампания', 'рязань', 'киев', 'новокузнецк', 'саранск', 'брянск', 'донецк', 'нижний тагил', 'псков', 'череповец', 'амкара', 'колл', 'нальчик', 'котор', 'тагил', 'раменское', 'анапа', 'пушкино', 'тверь', 'греция', 'луганск', 'бурятия', 'подмосковье', 'якутск', 'меркурий', 'великий новгород', 'петрозаводск', 'иран', 'курган', 'калуга', 'кубань', 'аскольд', 'беларусь', 'татарстан', 'южный сахалинск', 'восток', 'сахалинск', 'банкмосква', 'ангарск', 'азербайджан', 'курск', 'ямал', 'парнас', 'башкирия', 'краснодарский край', 'иваново', 'удмуртия', 'волжский', 'орск', 'лондон', 'арзамас', 'тверская', 'весь россия', 'урал', 'фанпромой', 'уссурийск', 'владивосток', 'ухта', 'волгодонск', 'казахстан', 'тамбов', 'сыктывкар', 'всеволожск', 'который евросоюз', 'камчатка', 'чувашия', 'вена', 'грозный', 'око', 'благовещенск', 'город кемерово', 'серпухов', 'стерлитамак', 'николаев', 'брюссель', 'вашингтон', 'белоруссия', 'архангельск', 'миасс', 'энгельс', 'артём', 'китай', 'югра', 'химки', 'приозерск', 'онега', 'запорожье', 'павлиное', 'орёл', 'владикавказ', 'город россия', 'харьков', 'оскол', 'различ', 'дальний восток', 'коми', 'пермский край', 'корп', 'чехия', 'ботлихский район', 'прага', 'каменск', 'ртищево', 'судженск', 'магадан', 'тобольск', 'старый оскол', 'мытищи', 'саянск', 'усинск', 'новограда', 'анжеро', 'находка', 'российск', 'забайкалье', 'шотландия', 'город ижевск', 'виктория', 'кировский район', 'детский реаба', 'америка', 'ачинск', 'альметьевск', 'балаково', 'зюзино', 'ленобласть', 'черкесск', 'абакан', 'питер', 'госуслуга', 'реаба', 'адмиралтейский район', 'город спасск', 'доминикана', 'микро', 'вебманя', 'город москва', 'новокуйбышевск', 'трансэарое', 'калачинск', 'грузия', 'поволжье', 'атба', 'астан', 'житомир', 'обнинск', 'мошейничествочер', 'курашов', 'турция', 'мансийск', 'твибанда', 'севастополь', 'пров', 'спонсировавший', 'конаково', 'новороссийск', 'хабаровский край', 'кузбасс', 'петропавловск', 'геленджик', 'сцукое', 'восколько', 'ютэйр', 'сума', 'байкал', 'кавказ', 'калининский район', 'мрск', 'зеленоград', 'сахалин', 'опра', 'россельхое', 'германия', 'махачкала', 'витебск', 'недвиж', 'балашиха', 'оленегорск', 'люксембург', 'город можга', 'ужгород', 'бийск', 'нефтекамск', 'хорватия', 'лабинск', 'болгария', 'вязники', 'таганрог', 'хакасия', 'альфа', 'альфабанк', 'альфа банк', 'банк москвы', 'банк москва', 'рсхб', 'россельхозбанк', 'россельхоз банк', 'банк', 'банка', 'втб', 'райффайзенбанк', 'райфайзенбанк', 'райффайзен банк', 'райффайзен', 'райфайзен', 'сбербанк', 'сбер', 'газпром', 'газпромбанк', 'северо', 'запад', 'уралсиб', 'открытый акционерный общество', 'филиал'], 'feature_processing__text_processing__vectorization__ngram_range': (1, 3), 'classifier__C': 10, 'feature_processing__text_processing__vectorization': TfidfVectorizer(analyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=None, min_df=1,
        ngram_range=(1, 2), norm='l2', preprocessor=None, smooth_idf=True,
        stop_words=None, strip_accents=None, sublinear_tf=False,
        token_pattern='(?u)\\b\\w\\w+\\b', tokenizer=None, use_idf=True,
        vocabulary=None)}";0.027157539504971552
